0	6.37
2	6.37
4	6.37
6	6.37
8	6.37
10	6.37
40	6.37
50	6.37
60	2.5
70	2.5
80	2.3
90	2.1
100	2.13
110	2.34
120	2.56
128	3.6
153	4.51
176	5.38
205	5.38
231	2.1
270	2.1
280	2.53
300	2.96
320	2.96
340	2.13
360	2.37
370	2.84
400	2.84
430	2.4
460	2.4
480	2.3
500	2.2
520	2.2
540	2.02
560	2.02
580	1.88
600	1.79
620	1.79
630	1.96
680	2.04
710	2.18
740	1.94
770	2.46
800	2.43
830	2.4
860	2.4
890	2.4
911	2.4
920	1.96
930	1.96
940	1.96
950	1.96
960	2.2
970	2.37
980	2.37
995	2.37
1007	2.37
1017	1.99
1027	1.72
1035	1.72
1045	1.72
1057	1.72
1070	1.84
1080	1.84
1090	1.84
1100	1.84
1110	1.84
1120	1.84
1130	1.92
1140	1.92
1150	1.92
1157	1.92
1163	1.92
1170	1.92
1176	2.37
1183	2.55
1190	2.55
1198	2.55
1205	2.55
1212	2.55
1220	2.55
1227	2.13
1235	2.13
1242	2.13
1250	2.13
1258	2.13
1266	2.13
1274	1.89
1282	1.85
1290	1.85
1299	1.85
1307	1.85
1316	1.88
1324	2.08
1333	2.08
1342	2.08
1351	2.08
1360	2.01
1370	1.91
1379	1.91
1389	1.65
1408	1.64
1428	1.61
1449	1.59
1470	1.55
1492	1.5
1515	1.49
1538	1.47
1562	1.41
1587	1.37
1613	1.26
1639	1.24
1667	1.22
1695	1.15
1724	1.15
1739	1.15
1754	1.15
1770	1.15
1786	1.15
1802	1.13
1818	1.13
1835	1.13
1852	1.13
1869	1.13
1887	1.13
1905	1.13
1923	1.13
1942	1.09
1961	1.09
1980	1.09
2000	1.09
2020	1.08
2041	1.04
2062	1.04
2083	1.05
2105	1.05
2128	1.04
2150	1.04
2174	1.04
2198	1.04
2222	1.04
2247	1.04
2273	1.04
2299	1.04
2326	1.03
2353	1.04
2381	1.04
2410	1.04
2439	1.03
2469	1.02
2500	1.03
2532	1.02
2564	1.01
2597	1.01
2632	1.02
2667	1.03
2703	1.02
2740	1.02
2778	1.02
2817	1
2857	1.04
2899	1.02
2941	
