       172      0.00   2424.60 h2o      total
lambda=1.a-100.a  barfield, w. d., koontz, g. d. and huebner w. f. (1972)
   j. quant. spectrosc. radiat. transfer 12, 1409
   (cross section of h2o = cross section of atomic o)
lambda=180.a-720.a  phillips, e., lee, l. c. and judge, d. l. (1977)
   j. quant. spectrosc. radiat. transfer 18, 309
lambda=600.a-690.a  dibler, v. h., walker, j. a. and rosenstock, h. m. (1966)
   j. res. nbs-a. phys. chem. 70, 459
lambda=700.a-980.8a  katayama, d. h., huffman, r. e. and o'bryan, c. l. (1973)
   j. chem. phys. 59, 4309
lambda=850.a-1110.a  watanabe, k. and jursa, a. s. (1964)
   j. chem. phys. 41, 1650
lambda=1060.a-1860.a  watanabe, k. and zelikoff, m. (1953)
   j. opt. soc. am. 43, 753

    905.00  4.40e-01
    908.10  4.72e-01
    909.00  4.74e-01
    910.00  4.82e-01
    911.50  4.66e-01
    915.50  4.67e-01
    916.70  4.85e-01
    917.50  4.85e-01
    918.60  4.91e-01
    923.80  4.64e-01
    925.30  4.81e-01
    926.20  5.05e-01
    927.40  5.03e-01
    930.00  4.78e-01
    932.40  4.91e-01
    933.80  4.85e-01
    934.80  4.91e-01
    936.30  4.91e-01
    941.20  5.01e-01
    942.60  4.92e-01
    943.40  4.79e-01
    945.30  4.81e-01
    948.00  4.84e-01
    949.40  4.95e-01
    951.10  4.76e-01
    952.10  4.76e-01
    958.20  5.00e-01
    959.80  4.99e-01
    960.80  4.83e-01
    963.30  4.97e-01
    965.40  4.81e-01
    967.30  4.94e-01
    968.40  4.88e-01
    970.00  4.62e-01
    977.20  4.82e-01
    978.00  4.92e-01
    982.60  7.50e-01
   1449.00  7.50e-01
   1450.00  1.00e 00
   2424.60  1.00e 00
        96      0.00   1770.00 h2o      h2do1d   30 26
lambda=1.a-1450.a  mcnesby, j. r., tanaka, i. and okabe, h. (1962)
   j. chem. phys. 36, 605
 Lambda=1216.A  Slanger, T. G., and G. Black (1982)
    J. Chem. Phys. 77, 2432-2437.
    (branching ratio)

      0.00  2.50e-02
    600.00  4.60e-02
    610.00  4.48e-02
    620.00  4.45e-02
    630.00  4.50e-02
    640.00  4.30e-02
    650.00  4.18e-02
    660.00  4.45e-02
    670.00  6.45e-02
    680.00  7.48e-02
    690.00  7.28e-02
    700.00  7.25e-02
    722.80  7.45e-02
    734.50  7.35e-02
    742.00  7.00e-02
    750.00  7.60e-02
    758.70  6.35e-02
    766.60  6.55e-02
    776.70  5.33e-02
    784.00  4.80e-02
    793.60  4.35e-02
    800.00  4.08e-02
    802.50  4.13e-02
    808.60  4.63e-02
    815.60  5.28e-02
    822.20  5.80e-02
    829.70  6.53e-02
    833.70  6.83e-02
    836.50  7.40e-02
    844.20  8.78e-02
    848.80  8.48e-02
    851.10  9.73e-02
    852.60  9.55e-02
    855.20  9.70e-02
    857.50  1.05e-01
    859.20  1.05e-01
    861.00  1.03e-01
    862.50  1.05e-01
    865.00  1.12e-01
    866.80  1.11e-01
    867.90  1.13e-01
    870.20  1.23e-01
    872.40  1.23e-01
    874.10  1.25e-01
    877.70  1.25e-01
    879.00  1.27e-01
    883.30  1.26e-01
    885.80  1.37e-01
    887.40  1.38e-01
    891.40  1.34e-01
    893.00  1.44e-01
    894.40  1.46e-01
    900.30  1.47e-01
    903.00  1.44e-01
    905.00  1.47e-01
    908.10  1.57e-01
    909.00  1.58e-01
    910.00  1.61e-01
    911.50  1.55e-01
    915.50  1.56e-01
    916.70  1.62e-01
    917.50  1.62e-01
    918.60  1.64e-01
    923.80  1.55e-01
    925.30  1.60e-01
    926.20  1.68e-01
    927.40  1.68e-01
    930.00  1.59e-01
    932.40  1.64e-01
    933.80  1.62e-01
    934.80  1.64e-01
    936.30  1.64e-01
    941.20  1.67e-01
    942.60  1.64e-01
    943.40  1.60e-01
    945.30  1.60e-01
    948.00  1.61e-01
    949.40  1.65e-01
    951.10  1.59e-01
    952.10  1.59e-01
    958.20  1.67e-01
    959.80  1.66e-01
    960.80  1.61e-01
    963.30  1.66e-01
    965.40  1.60e-01
    967.30  1.65e-01
    968.40  1.63e-01
    970.00  1.54e-01
    977.20  1.61e-01
    978.00  1.64e-01
    982.60  1.00e-01
   1304.00  1.00e-01
   1304.10  2.50e-01
   1449.00  2.50e-01
   1450.00  0.00e 00
   2424.60  0.00e 00
         6      0.00   1304.00 h2o      odhdh    32 26
 Lambda=1216.A  Slanger, T. G., and G. Black (1982)
    J. Chem. Phys. 77, 2432-2437.
    (Branching ratio)

      0.00  0.00e 00
    978.00  0.00e 00
    982.60  1.50e-01
   1304.00  1.50e-01
   1304.10  0.00e 00
