       175      0.00   2778.00 cs2      total
 cross sections:
 lambda=0.6-249.a  composite of atomic cross sections
    barfield et al.
 lambda=310.-954.a  carnovale, f., hitchcock, a. p., cook, j. p. d., and
    brion, c. e. (1982)
    chem. phys. 66, 249
 lambda=1060.-1520.a

   2778.00  0.00e 00
        29      0.00    834.00 cs2      sics        40
 cross sections:
 lambda=0.6-249.a  composite of atomic cross sections
    barfield et al.
 lambda=310.-954.a  carnovale, f., hitchcock, a. p., cook, j. p. d., and
    brion, c. e. (1982)
    chem. phys. 66, 249
 lambda=1060.-1520.a

      0.60  4.00e-01
    310.00  3.26e-01
    318.00  3.14e-01
    326.00  3.05e-01
    335.00  2.99e-01
    344.00  2.91e-01
    354.00  2.78e-01
    365.00  2.62e-01
    376.00  2.44e-01
    387.00  2.40e-01
    400.00  2.33e-01
    413.00  2.24e-01
    428.00  2.17e-01
    443.00  1.97e-01
    459.00  1.83e-01
    477.00  1.67e-01
    496.00  1.50e-01
    517.00  1.31e-01
    539.00  1.10e-01
    564.00  9.52e-02
    590.00  9.22e-02
    620.00  8.70e-02
    653.00  8.03e-02
    689.00  8.45e-02
    729.00  8.45e-02
    775.00  4.83e-02
    826.90  9.56e-03
    827.00  0.00e 00
   2778.00  0.00e 00
        28      0.00    775.00 cs2      csis        40
 cross sections:
 lambda=0.6-249.a  composite of atomic cross sections
    barfield et al.
 lambda=310.-954.a  carnovale, f., hitchcock, a. p., cook, j. p. d., and
    brion, c. e. (1982)
    chem. phys. 66, 249
 lambda=1060.-1520.a

      0.60  2.50e-01
    310.00  2.11e-01
    318.00  2.09e-01
    326.00  1.93e-01
    335.00  1.89e-01
    344.00  1.73e-01
    354.00  1.61e-01
    365.00  1.57e-01
    376.00  1.51e-01
    387.00  1.48e-01
    400.00  1.49e-01
    413.00  1.47e-01
    428.00  1.47e-01
    443.00  1.55e-01
    459.00  1.60e-01
    477.00  1.63e-01
    496.00  1.74e-01
    517.00  1.72e-01
    539.00  1.71e-01
    564.00  1.62e-01
    590.00  1.51e-01
    620.00  1.56e-01
    653.00  1.22e-01
    689.00  1.03e-01
    729.00  7.25e-02
    774.90  1.83e-02
    775.00  0.00e 00
   2778.00  0.00e 00
        27      0.00    731.00 cs2      s2ic        40
 cross sections:
 lambda=0.6-249.a  composite of atomic cross sections
    barfield et al.
 lambda=310.-954.a  carnovale, f., hitchcock, a. p., cook, j. p. d., and
    brion, c. e. (1982)
    chem. phys. 66, 249
 lambda=1060.-1520.a

      0.60  1.00e-02
    310.00  9.50e-03
    318.00  8.37e-03
    326.00  9.63e-03
    335.00  7.87e-03
    344.00  1.09e-02
    354.00  7.31e-03
    365.00  1.20e-02
    376.00  1.05e-02
    387.00  9.00e-03
    400.00  6.93e-03
    413.00  1.38e-02
    428.00  9.00e-03
    443.00  1.00e-02
    459.00  1.10e-02
    477.00  1.39e-02
    496.00  1.29e-02
    517.00  1.17e-02
    539.00  1.39e-02
    564.00  1.51e-02
    590.00  1.49e-02
    620.00  1.20e-02
    653.00  9.04e-03
    689.00  3.06e-03
    728.90  2.00e-03
    729.00  0.00e 00
   2778.00  0.00e 00
        31      0.00   1230.00 cs2      cs2i         2
 cross sections:
 lambda=0.6-249.a  composite of atomic cross sections
    barfield et al.
 lambda=310.-954.a  carnovale, f., hitchcock, a. p., cook, j. p. d., and
    brion, c. e. (1982)
    chem. phys. 66, 249
 lambda=1060.-1520.a

      0.60  3.00e-01
    310.00  4.21e-01
    318.00  4.39e-01
    326.00  4.65e-01
    335.00  4.72e-01
    344.00  4.90e-01
    354.00  5.26e-01
    365.00  5.38e-01
    376.00  5.59e-01
    387.00  5.71e-01
    400.00  5.74e-01
    413.00  5.86e-01
    428.00  5.96e-01
    443.00  6.10e-01
    459.00  6.26e-01
    477.00  6.41e-01
    496.00  6.53e-01
    517.00  6.72e-01
    539.00  7.03e-01
    564.00  7.27e-01
    590.00  7.41e-01
    620.00  7.45e-01
    653.00  7.85e-01
    689.00  8.09e-01
    729.00  8.40e-01
    775.00  9.33e-01
    827.00  9.90e-01
    886.00  1.00e+00
    954.00  1.00e+00
   1230.00  0.00e 00
   2778.00  0.00e 00
         6      0.00   2778.00 cs2      csds        26

      0.00  0.00e 00
   1570.00  0.00e 00
   1572.00  6.67e-01
   2210.00  6.67e-01
   2211.00  1.00e 00
   2778.00  1.00e 00
         6      0.00   2211.00 cs2      csds1d      26

      0.00  0.00e 00
   1570.00  0.00e 00
   1572.00  3.33e-01
   2210.00  3.33e-01
   2211.00  0.00e 00
   2778.00  0.00e 00
         8      0.00   1572.00 cs2      tcsds       26

      0.00  0.00e 00
   1229.00  0.00e 00
   1230.00  5.00e-01
   1336.00  5.00e-01
   1337.00  1.00e 00
   1570.00  1.00e 00
   1572.00  0.00e 00
   2778.00  0.00e 00
         0      0.00   1337.00 cs2      a1scds      26
***
