       262      0.00   1950.00 hcn      total       26
 lambda=1.a-900.a
   (cross section synthesized from atomic cross sections of h, c, and n)
 lambda=1050.a-1950.a    gary west, thesis
 threshold:
 lambda=1950.a  west, g. a. and berry, m. j. (1974)
    j. chem. phys. 61, 4700
 lambda=911.19a  fridh, c. and asbrink, j. (1975)
    j. electron spectrosc. 7, 119

   1870.50  1.91e-21
   1872.50  6.96e-22
   1874.00  1.59e-21
   1876.50  4.95e-22
   1880.50  1.91e-21
   1885.50  3.33e-22
   1886.50  4.60e-22
   1890.00  2.71e-22
   1891.50  3.33e-22
   1895.00  2.15e-22
   1898.00  3.65e-22
   1900.50  2.71e-22
   1902.50  5.40e-22
   1905.00  3.65e-22
   1907.00  6.83e-22
   1912.00  2.71e-22
   1914.50  5.18e-22
   1919.00  1.63e-22
   1923.50  1.56e-22
   1925.50  2.36e-22
   1927.00  1.59e-22
   1931.50  1.59e-22
   1932.50  2.15e-22
   1936.50  1.56e-22
   1939.50  2.10e-22
   1941.00  1.71e-22
   1943.00  2.15e-22
   1947.00  1.56e-22
   1950.00  1.79e-22
  1
         4      0.00   1950.00 hcn      hdcn(*)  32 26

      0.00  0.00e 00
    911.19  0.00e 00
    912.00  1.00e 00
   1950.00  1.00e 00
         0      0.00    911.19 hcn      hcni         2
***
