       254      0.00   3990.   ocs      total
 cross section:
 lambda=1.-122.a  combination of atomic cross sections
    barfield et al.
 lambda=248.-954.a  carnovale, f., hitchcock, a. p., cook, j. p. d. and
    brion, c. e. (1982)
    chem. phys. 66, 249
 lambda=1060.-1240.a  lee, l. c. and chiang, c. c. (1982)
    chem. phys. lett. 92, 425
 lambda=1240.-1700.a  matsunaga, f. m. and watanabe, k. (1967)
    j. chem. phys. 46, 4457
 lambda=1850.-3000.a  molina, l. t., lamb, j. j. and molina, m. j. (1981)
    geophys. res. lett. 8, 1008

   2730.00  9.21e-23
   2740.00  6.30e-23
   2750.00  5.26e-23
   2760.00  5.61e-23
   2770.00  3.96e-23
   2780.00  2.81e-23
   2790.00  2.50e-23
   2800.00  2.38e-23
   2810.00  1.44e-23
   2820.00  1.16e-23
   2830.00  1.31e-23
   2840.00  9.90e-24
   2850.00  6.10e-24
   2860.00  6.20e-24
   2870.00  6.80e-24
   2880.00  4.80e-24
   2890.00  3.40e-24
   2900.00  3.10e-24
   2910.00  3.60e-24
   2920.00  2.40e-24
   2930.00  1.50e-24
   2940.00  1.10e-24
   2950.00  1.50e-24
   2960.00  1.30e-24
   3369.00  1.00e-27
   3990.00  1.00e-32
 10
        31      0.00    564.   ocs      ciso        40
 branching ratios:
 lambda=248.-954.a  carnovale, f., hitchcock, a. p., cook, j. p. d. and
    brion, c. e. (1982)
    chem. phys. 66, 249

      0.60  5.00e-02
    248.00  4.71e-02
    253.00  4.20e-02
    258.00  4.00e-02
    264.00  3.89e-02
    270.00  4.10e-02
    276.00  3.84e-02
    282.00  4.00e-02
    288.00  3.58e-02
    295.00  3.28e-02
    302.00  3.30e-02
    310.00  3.88e-02
    318.00  3.86e-02
    326.00  3.70e-02
    335.00  3.70e-02
    344.00  3.67e-02
    354.00  3.57e-02
    365.00  3.48e-02
    376.00  3.35e-02
    387.00  3.33e-02
    400.00  2.62e-02
    413.00  1.92e-02
    428.00  1.20e-02
    443.00  7.06e-03
    459.00  8.90e-04
    477.00  2.00e-03
    496.00  1.15e-03
    517.00  1.80e-03
    539.00  1.00e-03
    564.00  0.00e 00
   3990.00  0.00e 00
        34      0.00    629.   ocs      oics        40
 branching ratios:
 lambda=248.-954.a  carnovale, f., hitchcock, a. p., cook, j. p. d. and
    brion, c. e. (1982)
    chem. phys. 66, 249

      0.60  1.50e-02
    248.00  1.66e-02
    253.00  1.90e-02
    258.00  2.00e-02
    264.00  1.81e-02
    270.00  2.22e-02
    276.00  1.29e-02
    282.00  1.90e-02
    288.00  1.82e-02
    295.00  1.31e-02
    302.00  1.55e-02
    310.00  1.52e-02
    318.00  1.29e-02
    326.00  9.90e-03
    335.00  9.60e-03
    344.00  1.00e-02
    354.00  7.90e-03
    365.00  6.00e-03
    376.00  7.00e-03
    387.00  5.10e-03
    400.00  2.80e-03
    413.00  2.80e-03
    428.00  1.00e-03
    443.00  1.00e-03
    459.00  3.00e-03
    477.00  1.00e-03
    496.00  3.05e-03
    517.00  1.80e-03
    539.00  2.00e-03
    564.00  3.00e-03
    590.00  2.80e-03
    620.00  1.00e-03
    629.00  0.00e 00
   3990.00  0.00e 00
        36      0.00    704.   ocs      cois        40
