       186      0.00   2000.00 CH3CN    Total
Cross Section:
Lambda = 0.00-600.00 A
   Barfield, W. D., Koontz, G. D., Huebner, W. F. (1972)
   J. Quant. Spectr. Rad. Trans. 12, 1409
Lambda = 600.0-876.0 A
   Nuth, J. A., Glicker, S. (1982)
   J. Quant. Spectr. Rad. Trans. 28, 223-231. 
   doi:10.1016/0022-4073(82) 90025-5.
Lambda = 876.0-1130.0 A
   Leach, S. et al. (2008)
   A Revisionist Study Chemical Physics, 344, 147-163.
   doi:10.1016/j.chemphys.2007.12.012.
Lambda = 1060.0-1345.0 A
   Kono, M., Private communication (2018) based on Ph. D. Thesis:  
   The Graduate University for Advanced Studies, Okazaki (1995).  
Lambda = 1130.1-1600.0 A
   Schwell, M., H.-W. Jochims, H. Baumgärtel, and S. Leach (2008), 
   Chem. Phys., 344(1), 164-175, doi:10.1016/j.chemphys.2007.12.011.
Lambda = 1601.0-2000.0 A
   "The MPI-Mainz UV/VIS Spectral Atlas of Gaseous Molecules of 
   Atmospheric Interest.”  N.p., n.d. Web. 22 Aug. 2016.
   http://satellite.mpic.de/spectral_atlas/cross_sections/Organics 
   (N-compounds)/Nitriles/CH3CN.spc

    677.93  4.27E-01
    686.30  4.31E-01
    696.34  4.27E-01
    708.01  4.05E-01
    749.63  3.58E-01
    756.33  3.60E-01
    774.68  3.25E-01
    786.34  3.08E-01
    791.35  3.05E-01
    801.33  2.98E-01
    806.33  2.97E-01
    813.00  2.96E-01
    821.70  2.96E-01
    822.20  3.04E-01
    822.70  3.12E-01
    824.69  3.11E-01
    828.01  3.00E-01
    830.50  3.01E-01
    831.00  3.05E-01
    831.50  3.08E-01
    833.03  3.17E-01
    838.03  3.07E-01
    844.70  2.98E-01
    873.05  2.84E-01
    879.71  2.74E-01
    885.60  2.79E-01
    886.10  3.91E-01
    886.60  5.06E-01
    894.69  4.68E-01
    906.36  4.59E-01
    919.71  4.54E-01
    928.06  4.56E-01
    934.72  4.40E-01
    944.69  3.88E-01
    949.64  3.31E-01
    952.96  3.01E-01
    959.62  2.78E-01
    961.28  2.51E-01
    964.66  2.94E-01
    967.94  2.34E-01
    969.72  3.98E-01
    976.26  2.02E-01
    979.62  2.60E-01
    981.36  3.33E-01
    986.27  1.32E-01
    989.60  1.64E-01
    991.24  1.39E-01
   1001.23  1.10E-01
   1007.89  6.42E-02
   1011.20  3.75E-02
   1016.18  1.99E-02
   1017.84  9.66E-03
   1018.00  0.00E+00
   2000.00  0.00E+00
        41      0.00    886.60 CH3CN    CH2CN+H     40
Branching ratios:
Lambda = 0.0-885.6 A
Threshold:
Lambda = 885.6 A
   Dibeler, V. H., Liston, S. K. (1968), J. Chem. Phys. 48, 4765, 
   doi:  http://dx.doi.org/10.1063/1.1668059.

     10.00  0.00E+00
    600.00  0.00E+00
    604.23  4.10E-01
    610.95  4.08E-01
    615.99  3.96E-01
    622.68  3.83E-01
    631.06  3.82E-01
    639.44  3.76E-01
    644.46  3.71E-01
    649.49  3.71E-01
    654.50  3.63E-01
    671.27  3.63E-01
    677.93  3.50E-01
    686.30  3.53E-01
    696.34  3.50E-01
    708.01  3.32E-01
    749.63  2.94E-01
    756.33  2.95E-01
    774.68  2.67E-01
    786.34  2.53E-01
    791.35  2.50E-01
    801.33  2.44E-01
    806.33  2.43E-01
    813.00  2.43E-01
    821.70  2.42E-01
    822.20  2.49E-01
    822.70  2.57E-01
    824.69  2.55E-01
    828.01  2.46E-01
    830.50  2.47E-01
    831.00  2.50E-01
    831.50  2.53E-01
    833.03  2.60E-01
    838.03  2.52E-01
    844.70  2.44E-01
    873.05  2.33E-01
    879.71  2.25E-01
    885.60  2.29E-01
    886.10  1.15E-01
    886.60  0.00E+00
   2000.00  0.00E+00
        28      0.00    822.70 CH3CN    CHCN+H/H    40
Branching ratios:
Lambda = 0.0-821.7
Threshold:
Lambda = 821.7 A
   Dibeler, V. H., Liston, S. K. (1968), J. Chem. Phys. 48, 4765,
   doi:http://dx.doi.org/10.1063/1.1668059.

     10.00  0.00E+00
    600.00  0.00E+00
    604.23  6.00E-02
    610.95  5.97E-02
    615.99  5.79E-02
    622.68  5.61E-02
    631.06  5.59E-02
    639.44  5.51E-02
    644.46  5.43E-02
    649.49  5.43E-02
    654.50  5.31E-02
    671.27  5.31E-02
    677.93  5.12E-02
    686.30  5.17E-02
    696.34  5.12E-02
    708.01  4.86E-02
    749.63  4.30E-02
    756.33  4.32E-02
    774.68  3.90E-02
    786.34  3.70E-02
    791.35  3.66E-02
    801.33  3.57E-02
    806.33  3.56E-02
    813.00  3.55E-02
    821.70  3.55E-02
    822.20  1.76E-02
    822.70  0.00E+00
   2000.00  0.00E+00
        33      0.00    831.50 CH3CN    CH2+HCN     40
Branching ratios:
Lambda = 0.0-830.5 A
Threshold:
Lambda = 830.5 A
   Dibeler, V. H., Liston, S. K. (1968), J. Chem. Phys. 48, 4765, 
   doi:http://dx.doi.org/10.1063/1.1668059.

     10.00  0.00E+00
    600.00  0.00E+00
    604.23  2.50E-02
    610.95  2.49E-02
    615.99  2.41E-02
    622.68  2.34E-02
    631.06  2.33E-02
    639.44  2.29E-02
    644.46  2.26E-02
    649.49  2.26E-02
    654.50  2.21E-02
    671.27  2.21E-02
    677.93  2.14E-02
    686.30  2.15E-02
    696.34  2.13E-02
    708.01  2.02E-02
    749.63  1.79E-02
    756.33  1.80E-02
    774.68  1.63E-02
    786.34  1.54E-02
    791.35  1.53E-02
    801.33  1.49E-02
    806.33  1.48E-02
    813.00  1.48E-02
    821.70  1.48E-02
    822.20  1.52E-02
    822.70  1.57E-02
    824.69  1.56E-02
    828.01  1.50E-02
    830.50  1.40E-02
    831.00  7.00E-03
    831.50  0.00E+00
   2000.00  0.00E+00
       134    600.00   2000.00 CH3CN    CH2CN/H     26
Branching ratios:
Lambda = 600.0-2000.0 A
Threshold:
Lambda = 770. A
   Schwell, M., H.-W. Jochims, H. Baumgärtel, and S. Leach (2008), 
   Chem. Phys., 344(1), 164-175, doi:10.1016/j.chemphys.2007.12.011.
   
     10.00  0.00E+00
    604.23  0.00E+00
    610.95  5.74E-03
    615.99  3.46E-02
    622.68  6.56E-02
    631.06  6.78E-02
    639.44  8.21E-02
    644.46  9.57E-02
    649.49  9.52E-02
    654.50  1.15E-01
    671.27  1.14E-01
    677.93  1.46E-01
    686.30  1.38E-01
    696.34  1.47E-01
    708.01  1.91E-01
    749.63  2.83E-01
    756.33  2.80E-01
    774.68  3.50E-01
    786.34  3.84E-01
    791.35  3.89E-01
    801.33  4.04E-01
    806.33  4.07E-01
    813.00  4.08E-01
    821.70  4.09E-01
    822.20  4.13E-01
    822.70  4.13E-01
    824.69  4.18E-01
    828.01  4.38E-01
    830.50  4.35E-01
    831.00  4.36E-01
    831.50  4.37E-01
    833.03  4.23E-01
    838.03  4.39E-01
    844.70  4.55E-01
    873.05  4.78E-01
    879.71  4.95E-01
    885.60  4.86E-01
    886.10  4.92E-01
    886.60  4.94E-01
    894.69  5.32E-01
    906.36  5.41E-01
    919.71  5.46E-01
    928.06  5.44E-01
    934.72  5.60E-01
    944.69  6.05E-01
    949.64  6.62E-01
    952.96  6.92E-01
    959.62  7.14E-01
    961.28  7.41E-01
    964.66  6.98E-01
    967.94  7.57E-01
    969.72  5.94E-01
    976.26  7.88E-01
    979.62  7.31E-01
    981.36  6.58E-01
    986.27  8.59E-01
    989.60  8.24E-01
    991.24  8.50E-01
   1001.23  8.78E-01
   1007.89  9.22E-01
   1011.20  9.49E-01
   1016.18  9.64E-01
   1017.84  9.75E-01
   1018.00  9.84E-01
   1028.95  9.83E-01
   1031.16  9.83E-01
   1034.49  9.84E-01
   1036.73  9.84E-01
   1040.09  9.80E-01
   1042.35  9.84E-01
   1045.76  9.84E-01
   1048.04  9.83E-01
   1051.48  9.82E-01
   1052.63  9.82E-01
   1054.95  9.82E-01
   1056.11  9.83E-01
   1058.44  9.83E-01
   1060.77  9.83E-01
   1063.12  9.83E-01
   1065.48  9.82E-01
   1067.85  9.81E-01
   1071.42  9.81E-01
   1073.82  9.81E-01
   1075.02  9.80E-01
   1077.44  9.78E-01
   1078.65  9.78E-01
   1081.07  9.79E-01
   1083.51  9.79E-01
   1085.96  9.79E-01
   1088.43  9.79E-01
   1090.90  9.80E-01
   1094.63  9.80E-01
   1097.13  9.80E-01
   1099.64  9.79E-01
   1101.49  9.79E-01
   1120.02  9.79E-01
   1125.28  9.79E-01
   1128.39  9.79E-01
   1135.11  9.82E-01
   1138.76  9.82E-01
   1139.94  9.83E-01
   1145.10  9.82E-01
   1145.43  9.82E-01
   1149.63  9.80E-01
   1160.26  9.79E-01
   1165.18  9.81E-01
   1171.81  9.81E-01
   1175.14  9.82E-01
   1181.83  9.83E-01
   1186.76  9.83E-01
   1195.12  9.83E-01
   1200.17  9.84E-01
   1205.26  9.85E-01
   1211.86  9.85E-01
   1215.17  9.84E-01
   1218.56  9.84E-01
   1221.87  9.84E-01
   1233.81  9.83E-01
   1238.77  9.83E-01
   1238.86  9.83E-01
   1242.19  9.83E-01
   1245.61  9.83E-01
   1252.11  9.84E-01
   1259.25  9.85E-01
   1265.68  9.85E-01
   1277.55  9.85E-01
   1283.86  9.86E-01
   1291.80  9.86E-01
   1298.85  9.87E-01
   1302.14  9.87E-01
   1312.11  9.87E-01
   1322.11  9.87E-01
   1357.20  1.00E+00 
   2000.00  1.00E+00
        92      0.00   2000.00 CH3CN    CH3/CNB2    26
Branching ratios:
Lambda = 934.7-2000.0 A
Threshold:
Lambda = 1450. A
   Kanda, K., T. Nagata, and T. Ibuki (1999), Chem. Phys. 
   243(1), 89-96, doi:10.1016/S0301-0104(99)00063-4.
      
     10.00  0.00E+00
    934.72  0.00E+00
    944.69  5.02E-03
    949.64  5.51E-03
    952.96  5.69E-03
    959.62  6.00E-03
    961.28  6.05E-03
    964.66  6.21E-03
    967.94  6.66E-03
    969.72  6.44E-03
    976.26  7.46E-03
    979.62  7.12E-03
    981.36  6.98E-03
    986.27  7.52E-03
    989.60  8.86E-03
    991.24  8.75E-03
   1001.23  9.02E-03
   1007.89  9.56E-03
   1011.20  1.04E-02
   1016.18  1.21E-02
   1017.84  1.21E-02
   1018.00  1.21E-02
   1028.95  1.29E-02
   1031.16  1.29E-02
   1034.49  1.25E-02
   1036.73  1.25E-02
   1040.09  1.25E-02
   1042.35  1.24E-02
   1045.76  1.27E-02
   1048.04  1.31E-02
   1051.48  1.36E-02
   1052.63  1.37E-02
   1054.95  1.35E-02
   1056.11  1.32E-02
   1058.44  1.29E-02
   1060.77  1.31E-02
   1063.12  1.34E-02
   1065.48  1.38E-02
   1067.85  1.42E-02
   1071.42  1.43E-02
   1073.82  1.49E-02
   1075.02  1.54E-02
   1077.44  1.68E-02
   1078.65  1.66E-02
   1081.07  1.61E-02
   1083.51  1.59E-02
   1085.96  1.59E-02
   1088.43  1.58E-02
   1090.90  1.57E-02
   1094.63  1.55E-02
   1097.13  1.55E-02
   1099.64  1.60E-02
   1101.49  1.63E-02
   1120.02  1.60E-02
   1125.28  1.61E-02
   1128.39  1.59E-02
   1135.11  1.37E-02
   1138.76  1.37E-02
   1139.94  1.31E-02
   1145.10  1.40E-02
   1145.43  1.41E-02
   1149.63  1.54E-02
   1160.26  1.59E-02
   1165.18  1.49E-02
   1171.81  1.47E-02
   1175.14  1.41E-02
   1181.83  1.31E-02
   1186.76  1.29E-02
   1195.12  1.28E-02
   1200.17  1.23E-02
   1205.26  1.18E-02
   1211.86  1.19E-02
   1215.17  1.25E-02
   1218.56  1.25E-02
   1221.87  1.23E-02
   1233.81  1.27E-02
   1238.77  1.27E-02
   1238.86  1.27E-02
   1242.19  1.34E-02
   1245.61  1.33E-02
   1252.11  1.24E-02
   1259.25  1.19E-02
   1265.68  1.17E-02
   1277.55  1.15E-02
   1283.86  1.05E-02
   1291.80  1.05E-02
   1298.85  1.02E-02
   1302.14  9.92E-03
   1312.11  9.93E-03
   1322.11  9.99E-03
   1357.20  0.00E+00
   2000.00  0.00E+00
         0    600.00   2000.00 CH3CN    CH3/CNA2    26
***

