       361      1.00   1117.80 co       total
cross section:
lambda=2.a-72.5a  henry, r. j. w. and mcelroy, m. b. (1968)
   photoelectrons in planetary atmospheres, in the atmospheres of venus and
   mars, j. c. brandt and m. b. mcelroy, eds. gordon breach science
publishers.
   inc., new york, london, paris
lambda=89.6a-564.5a  masuoka, t. and samson, j. a. r. (1980)
   j. chem. phys. 74, 1093
lambda=584.3a-1037.6a  cairns, r. b. and samson, j. a. r. (1965)
   j. geophys. res. 70, 99
lambda=600.a-1002.5a  cook, g. r., metzger, p. h. and ogawa, m. (1965)
   can. j. phys. 43, 1706
threshold:
lambda=1117.8a  krupenie, p. h. (1966)
   the band spectrum of carbon monoxide, nsrds-nbs 5
   (dissociation wavelength)

    830.80  1.71e-17
    832.40  2.16e-17
    833.50  1.60e-17
    833.70  1.81e-17
    834.50  1.90e-17
    835.20  1.86e-17
    836.20  3.38e-17
    838.50  2.38e-17
    840.00  1.34e-17
    841.20  1.71e-17
    843.00  1.49e-17
    844.00  2.44e-17
    845.00  1.75e-17
    845.70  2.15e-17
    846.30  2.20e-17
    846.80  1.90e-17
    848.00  3.13e-17
    848.50  2.98e-17
    849.00  2.73e-17
    851.00  2.84e-17
    851.90  2.61e-17
    852.30  2.61e-17
    852.70  2.57e-17
    853.60  2.53e-17
    854.20  2.72e-17
    856.20  2.09e-17
    857.20  2.70e-17
    858.00  2.09e-17
    858.30  2.01e-17
    859.00  1.86e-17
    860.00  2.53e-17
    860.20  2.57e-17
    861.20  3.43e-17
    863.00  3.05e-17
    863.50  3.54e-17
    864.60  3.20e-17
    865.50  3.79e-17
    866.50  4.09e-17
    867.00  4.25e-17
    867.70  3.58e-17
    869.00  2.64e-17
    870.00  4.17e-17
    870.70  3.63e-17
    871.50  5.02e-17
    872.30  2.66e-17
    873.50  2.36e-17
    874.00  2.44e-17
    875.00  2.24e-17
    876.00  2.62e-17
    877.00  2.53e-17
    877.50  3.91e-17
    878.30  3.39e-17
    880.00  4.47e-17
    880.90  4.46e-17
    881.20  5.69e-17
    884.00  2.67e-17
    884.50  3.35e-17
    885.20  2.34e-17
    887.00  2.77e-17
    889.00  6.44e-17
    890.00  5.92e-17
    890.30  6.59e-17
    893.00  2.29e-17
    894.00  3.83e-17
    895.00  2.90e-17
    896.70  8.56e-17
    898.80  2.27e-17
    899.20  1.54e-17
    900.20  3.76e-17
    901.30  2.38e-17
    902.00  3.24e-17
    903.20  3.52e-17
    904.20  2.21e-17
    905.00  7.15e-17
    905.80  3.46e-17
    906.20  4.39e-17
    907.10  3.72e-17
    908.30  5.65e-17
    908.80  5.51e-17
    909.10  6.44e-17
