      2579      0.00   2423.70 O2       Total
Lambda = 1.-295 A
   Barfield, W. D., Koontz, G. D., Huebner, W. F. (1972)
   J. Quant. Spectr. Rad. Trans. 12, 1409
   (two times cross section for atomic oxygen)
Lambda = 9.9-247.2 A
   Bortner, M. H., Baurer, T. (1978)
   Defense Nuclear Agency Reaction Rate Handbook, DNA 1948h, 2nd ed., rev. Nr. 7
Lambda = 41.33-1771.2 A
   Brion, C. E., Tan, K. H. (1979)
   J. Electron Spectr. Related Phenom. 17, 101
Lambda = 209.3-1037.6 A
   Samson, J. A. R., Cairns, R. B. (1964, 1965)
   J. Geophys. Res. 69, 4583
   J. Opt. Soc. Am. 55, 1035
Lambda = 600-912 A
   Cook, G. R., Metzger, P. H. (1964)
   J. Chem. Phys. 41, 321
Lambda = 580-1077 A
   Matsunaga, F. M., Watanabe, K. (1967)
   Science of Light 16, 31
Lambda = 1062-1751 A
   Watanabe, K. (1958)
   Adv. Geophys. 5, 153
Lambda = 1163-2000 A
   Ackerman, M. (1971)
   Ultraviolet Solar Radiation Related to Mesospheric Processes, in
   Mesospheric Models and Related Experiments, G. Fiocco (ed.), Proc.
   4th ESRIN-ESLAB Symp., Frascati, Italy (Reidel Dordrecht-Holland)
Lambda = 1163-2000 A
   Ackerman, M., Biaume, F., Kockarts, G. (1970)
   Planet. Space Sci. 18, 1639
Lambda = 140.3-1740.0 A
   Gibson, S. T., Gies, H. P. F., Blake, A. J., Mccoy, D. G., Rogers, P. J. (1983)
   J. Quant. Spectr. Rad. Trans. 30, 385
Lambda = 2000-2200 A
   Herman, J. R., Mentall, J. E. (1982)
   J. Geophys. Res. 87, 8967
Lambda = 2250-2423.7 A
   Shardanand, Rao, A. D. P. (1976)
   J. Quant. Spectr. Rad. Trans. 17, 433
Threshold (dissociation):
Lambda = 2423.7 A
   Huber, K.-P., Herzberg, G. (1979)
   Molecular Spectra & Molecular Structure, Vol. 4, Van Nostrand Reinhold, New York
Lambda = 1792.3-1998.0 A
   (1,0) - (12,0) Schumann-Runge bands
   Yoshino, K., Freeman, D. E., Esmond, J. R., Parkinson, W. H. (1982?)
   Plan. Space Sci.   ,   
   1810.80  8.04E-21
   1810.90  4.95E-20
   1811.00  1.52E-19
   1811.10  2.07E-20
   1811.20  4.66E-21
   1811.30  3.70E-21
   1811.40  1.35E-20
   1811.50  9.60E-20
   1811.60  5.38E-20
   1811.70  4.93E-21
   1811.80  2.95E-21
   1811.90  1.67E-21
   1812.00  6.26E-21
   1812.10  1.38E-20
   1812.20  9.70E-21
   1812.30  1.57E-21
   1812.40  1.45E-21
   1812.50  1.98E-21
   1812.60  2.60E-21
   1812.70  5.68E-21
   1812.80  4.93E-20
   1812.90  8.79E-20
   1813.00  1.22E-20
   1813.10  5.21E-21
   1813.20  6.54E-21
   1813.30  9.66E-21
   1813.40  2.22E-20
   1813.50  7.09E-20
   1813.60  1.97E-20
   1813.70  4.06E-21
   1813.80  2.93E-21
   1813.90  2.00E-21
   1814.00  1.51E-21
   1814.10  1.73E-21
   1814.20  1.32E-21
   1814.30  1.08E-21
   1814.40  1.04E-21
   1814.50  2.73E-21
   1814.60  1.97E-21
   1814.70  2.51E-21
   1814.80  2.81E-21
   1814.90  1.40E-20
   1815.00  7.38E-20
   1815.10  2.28E-20
   1815.20  8.89E-21
   1815.30  8.35E-21
   1815.40  2.40E-21
   1815.50  3.07E-21
   1815.60  1.01E-20
   1815.70  4.07E-20
   1815.80  1.60E-20
   1815.90  2.60E-21
   1816.00  2.26E-21
   1816.10  3.69E-21
   1816.20  4.02E-21
   1816.30  5.44E-21
   1816.40  2.84E-20
   1816.50  9.92E-20
   1816.60  1.10E-19
   1816.70  1.23E-19
   1816.80  1.77E-20
   1816.90  9.28E-20
   1817.00  1.53E-19
   1817.10  1.72E-19
   1817.20  1.63E-20
   1817.30  2.50E-20
   1817.40  5.74E-20
   1817.50  1.96E-19
   1817.60  8.07E-20
   1817.70  2.04E-19
   1817.80  1.70E-20
   1817.90  7.40E-21
   1818.00  7.89E-21
   1818.10  2.04E-20
   1818.20  4.34E-20
   1818.30  1.89E-19
   1818.40  4.21E-20
   1818.50  2.47E-19
   1818.60  3.04E-20
   1818.70  1.08E-20
   1818.80  5.62E-21
   1818.90  4.86E-21
   1819.00  4.27E-21
   1819.10  6.81E-21
   1819.20  3.47E-20
   1819.30  1.87E-19
   1819.40  2.20E-20
   1819.50  1.31E-19
   1819.60  1.14E-19
   1819.70  8.90E-21
   1819.80  5.36E-21
   1819.90  1.56E-20
   1820.00  2.31E-20
   1820.10  6.80E-21
   1820.20  4.23E-21
   1820.30  6.65E-21
   1820.40  3.11E-20
   1820.50  2.00E-19
   1820.60  2.16E-20
   1820.70  1.94E-20
   1820.80  1.70E-19
   1820.90  2.47E-20
   1821.00  6.49E-21
   1821.10  4.22E-21
   1821.20  3.34E-21
   1821.30  2.70E-21
   1821.40  1.92E-21
   1821.50  3.24E-21
   1821.60  4.74E-21
   1821.70  4.62E-21
   1821.80  1.04E-20
   1821.90  1.37E-19
   1822.00  5.49E-20
   1822.10  7.55E-21
   1822.20  1.39E-20
   1822.30  1.29E-19
   1822.40  1.48E-20
   1822.50  5.49E-21
   1822.60  2.24E-21
   1822.70  4.42E-21
   1822.80  1.32E-20
   1822.90  5.00E-21
   1823.00  3.71E-21
   1823.10  2.72E-21
   1823.20  1.53E-21
   1823.30  2.12E-21
   1823.40  3.97E-21
   1823.50  2.12E-20
   1823.60  1.20E-19
   1823.70  1.29E-20
   1823.80  8.82E-21
   1823.90  1.43E-20
   1824.00  9.60E-20
   1824.10  1.83E-20
   1824.20  2.31E-21
   1824.30  1.39E-21
   1824.40  9.11E-22
   1824.50  8.23E-22
   1824.60  9.57E-22
   1824.70  1.95E-21
   1824.80  1.55E-21
   1824.90  1.05E-21
   1825.00  9.02E-22
   1825.10  9.59E-22
   1825.20  1.63E-21
   1825.30  5.48E-21
   1825.40  5.93E-20
   1825.50  5.31E-20
   1825.60  4.91E-21
   1825.70  4.00E-21
   1825.80  8.27E-21
   1825.90  5.59E-20
   1826.00  1.78E-20
   1826.10  3.85E-21
   1826.20  3.06E-21
   1826.30  1.29E-21
   1826.40  2.39E-21
   1826.50  2.51E-21
   1826.60  1.04E-21
   1826.70  1.00E-21
   1826.80  3.47E-21
   1826.90  4.40E-21
   1827.00  2.78E-21
   1827.10  6.00E-22
   1827.20  6.81E-22
   1827.30  3.50E-21
   1827.40  4.83E-21
   1827.50  4.40E-20
   1827.60  2.91E-20
   1827.70  2.06E-21
   1827.80  3.92E-21
   1827.90  4.11E-21
   1828.00  1.02E-20
   1828.10  3.15E-20
   1828.20  2.67E-21
   1828.30  9.57E-22
   1828.40  2.21E-21
   1828.50  3.10E-21
   1828.60  1.26E-21
   1828.70  5.63E-22
   1828.80  3.63E-22
   1828.90  8.54E-22
   1829.00  5.96E-22
   1829.10  3.58E-21
   1829.20  4.51E-21
   1829.30  2.16E-21
   1829.40  6.13E-22
   1829.50  7.15E-22
   1829.60  8.33E-22
   1829.70  2.05E-21
   1829.80  2.32E-20
   1829.90  2.18E-20
   1830.00  1.84E-21
   1830.10  1.11E-21
   1830.20  1.42E-21
   1830.30  2.70E-21
   1830.40  1.47E-20
   1830.50  1.70E-20
   1830.60  8.20E-21
   1830.70  5.37E-20
   1830.80  4.78E-20
   1830.90  1.45E-19
   1831.00  1.56E-20
   1831.10  1.17E-20
   1831.20  1.01E-19
   1831.30  1.57E-19
   1831.40  1.13E-20
   1831.50  5.78E-21
   1831.60  6.37E-21
   1831.70  3.97E-20
   1831.80  1.30E-19
   1831.90  1.63E-19
   1832.00  1.02E-20
   1832.10  4.68E-21
   1832.20  3.60E-21
   1832.30  5.98E-21
   1832.40  2.93E-20
   1832.50  1.03E-19
   1832.60  9.23E-20
   1832.70  1.73E-19
   1832.80  1.52E-20
   1832.90  3.88E-21
   1833.00  6.19E-21
   1833.10  1.17E-20
   1833.20  2.60E-21
   1833.30  3.58E-21
   1833.40  9.94E-21
   1833.50  1.49E-19
   1833.60  4.33E-20
   1833.70  1.41E-19
   1833.80  2.09E-20
   1833.90  4.57E-21
   1834.00  3.05E-21
   1834.10  3.19E-21
   1834.20  2.84E-21
   1834.30  2.20E-21
   1834.40  3.54E-21
   1834.50  3.28E-21
   1834.60  9.65E-21
   1834.70  1.26E-19
   1834.80  2.42E-20
   1834.90  7.32E-20
   1835.00  7.05E-20
   1835.10  7.96E-21
   1835.20  1.15E-20
   1835.30  4.40E-21
   1835.40  2.15E-21
   1835.50  2.16E-21
   1835.60  1.62E-21
   1835.70  1.91E-21
   1835.80  4.59E-21
   1835.90  7.42E-21
   1836.00  5.37E-21
   1836.10  7.42E-20
   1836.20  4.53E-20
   1836.30  1.36E-20
   1836.40  8.52E-20
   1836.50  9.20E-21
   1836.60  2.23E-21
   1836.70  1.60E-21
   1836.80  9.21E-22
   1836.90  2.44E-21
   1837.00  2.02E-21
   1837.10  6.59E-22
   1837.20  8.32E-22
   1837.30  8.15E-22
   1837.40  2.56E-21
   1837.50  3.15E-21
   1837.60  2.40E-21
   1837.70  3.80E-20
   1837.80  5.44E-20
   1837.90  4.66E-21
   1838.00  1.75E-20
   1838.10  5.40E-20
   1838.20  8.42E-21
   1838.30  3.39E-21
   1838.40  7.97E-22
   1838.50  6.89E-22
   1838.60  4.84E-22
   1838.70  6.25E-22
   1838.80  5.20E-22
   1838.90  2.60E-21
   1839.00  3.53E-21
   1839.10  8.94E-22
   1839.20  6.81E-22
   1839.30  1.15E-21
   1839.40  1.62E-21
   1839.50  6.66E-21
   1839.60  5.92E-20
   1839.70  5.76E-21
   1839.80  3.29E-21
   1839.90  2.68E-20
   1840.00  2.19E-20
   1840.10  1.50E-21
   1840.20  6.85E-22
   1840.30  4.85E-22
   1840.40  3.06E-22
   1840.50  3.66E-22
   1840.60  1.56E-21
   1840.70  1.42E-21
   1840.80  3.86E-22
   1840.90  3.87E-22
   1841.00  1.79E-22
   1841.10  2.45E-22
   1841.20  4.06E-22
   1841.30  8.91E-22
   1841.40  2.57E-21
   1841.50  2.52E-21
   1841.60  1.63E-20
   1841.70  2.54E-20
   1841.80  2.58E-21
   1841.90  1.73E-21
   1842.00  1.42E-20
   1842.10  1.90E-20
   1842.20  1.13E-21
   1842.30  1.27E-21
   1842.40  5.02E-22
   1842.50  6.14E-22
   1842.60  7.73E-22
   1842.70  4.52E-22
   1842.80  2.55E-22
   1842.90  2.39E-22
   1843.00  1.86E-22
   1843.10  2.96E-22
   1843.20  2.89E-22
   1843.30  3.89E-22
   1843.40  3.51E-22
   1843.50  3.78E-22
   1843.60  6.00E-22
   1843.70  1.08E-21
   1843.80  2.59E-21
   1843.90  2.04E-20
   1844.00  7.79E-21
   1844.10  2.23E-21
   1844.20  2.39E-21
   1844.30  6.85E-21
   1844.40  1.15E-20
   1844.50  2.44E-21
   1844.60  1.62E-21
   1844.70  3.61E-21
   1844.80  1.73E-21
   1844.90  1.99E-21
   1845.00  7.07E-22
   1845.10  2.38E-21
   1845.20  1.78E-21
   1845.30  9.28E-22
   1845.40  3.33E-21
   1845.50  9.86E-22
   1845.60  6.28E-22
   1845.70  8.08E-22
   1845.80  1.01E-21
   1845.90  2.62E-21
   1846.00  3.65E-21
   1846.10  2.17E-21
   1846.20  2.84E-21
   1846.30  8.95E-21
   1846.40  2.83E-20
   1846.50  4.81E-20
   1846.60  6.60E-20
   1846.70  4.09E-20
   1846.80  1.36E-20
   1846.90  4.94E-20
   1847.00  1.23E-19
   1847.10  2.96E-20
   1847.20  8.26E-21
   1847.30  7.47E-21
   1847.40  1.62E-20
   1847.50  8.54E-20
   1847.60  1.10E-19
   1847.70  1.83E-20
   1847.80  6.14E-21
   1847.90  4.52E-21
   1848.00  4.61E-21
   1848.10  7.21E-21
   1848.20  2.54E-20
   1848.30  1.04E-19
   1848.40  8.72E-20
   1848.50  1.30E-20
   1848.60  5.78E-21
   1848.70  3.73E-21
   1848.80  3.99E-21
   1848.90  4.47E-21
   1849.00  4.45E-21
   1849.10  1.09E-20
   1849.20  5.33E-20
   1849.30  8.44E-20
   1849.40  7.51E-20
   1849.50  1.19E-20
   1849.60  5.26E-21
   1849.70  6.56E-21
   1849.80  2.82E-21
   1849.90  3.94E-21
   1850.00  2.34E-21
   1850.10  2.21E-21
   1850.20  3.28E-21
   1850.30  1.01E-20
   1850.40  5.72E-20
   1850.50  5.71E-20
   1850.60  6.53E-20
   1850.70  1.20E-20
   1850.80  3.01E-21
   1850.90  1.49E-21
   1851.00  1.26E-21
   1851.10  9.60E-22
   1851.20  7.39E-22
   1851.30  1.01E-21
   1851.40  1.39E-21
   1851.50  1.85E-21
   1851.60  2.99E-21
   1851.70  6.99E-21
   1851.80  4.44E-20
   1851.90  3.76E-20
   1852.00  4.94E-20
   1852.10  1.96E-20
   1852.20  4.49E-21
   1852.30  2.11E-21
   1852.40  2.15E-21
   1852.50  1.07E-21
   1852.60  1.14E-21
   1852.70  2.35E-21
   1852.80  1.15E-21
   1852.90  9.16E-22
   1853.00  9.76E-22
   1853.10  1.18E-21
   1853.20  1.78E-21
   1853.30  5.32E-21
   1853.40  3.12E-20
   1853.50  3.17E-20
   1853.60  2.38E-20
   1853.70  2.08E-20
   1853.80  4.14E-21
   1853.90  1.30E-21
   1854.00  7.99E-22
   1854.10  7.63E-22
   1854.20  6.01E-22
   1854.30  4.53E-22
   1854.40  4.77E-22
   1854.50  8.14E-22
   1854.60  6.33E-22
   1854.70  5.31E-22
   1854.80  6.69E-22
   1854.90  8.53E-22
   1855.00  1.21E-21
   1855.10  3.04E-21
   1855.20  1.59E-20
   1855.30  2.68E-20
   1855.40  9.90E-21
   1855.50  2.14E-20
   1855.60  5.08E-21
   1855.70  1.28E-21
   1855.80  1.59E-21
   1855.90  1.89E-21
   1856.00  2.31E-21
   1856.10  2.01E-21
   1856.20  5.28E-22
   1856.30  1.60E-21
   1856.40  1.29E-21
   1856.50  2.09E-21
   1856.60  5.98E-22
   1856.70  7.01E-22
   1856.80  5.88E-22
   1856.90  1.83E-21
   1857.00  2.07E-21
   1857.10  2.52E-21
   1857.20  5.32E-21
   1857.30  1.97E-20
   1857.40  5.88E-21
   1857.50  7.64E-21
   1857.60  1.01E-20
   1857.70  2.31E-21
   1857.80  2.23E-21
   1857.90  6.11E-22
   1858.00  2.07E-21
   1858.10  1.53E-21
   1858.20  3.22E-22
   1858.30  2.40E-22
   1858.40  2.07E-22
   1858.50  4.24E-22
   1858.60  4.91E-22
   1858.70  1.16E-21
   1858.80  1.77E-21
   1858.90  7.17E-22
   1859.00  3.73E-22
   1859.10  1.21E-21
   1859.20  1.74E-21
   1859.30  6.93E-22
   1859.40  1.92E-21
   1859.50  8.26E-21
   1859.60  9.32E-21
   1859.70  2.02E-21
   1859.80  6.29E-21
   1859.90  2.89E-21
   1860.00  7.21E-22
   1860.10  1.80E-21
   1860.20  4.95E-22
   1860.30  2.51E-22
   1860.40  5.19E-22
   1860.50  1.32E-21
   1860.60  4.23E-22
   1860.70  1.38E-22
   1860.80  1.23E-22
   1860.90  1.45E-22
   1861.00  1.38E-22
   1861.10  1.31E-22
   1861.20  1.74E-22
   1861.30  3.00E-22
   1861.40  1.99E-22
   1861.50  3.23E-22
   1861.60  1.47E-21
   1861.70  6.51E-22
   1861.80  5.47E-22
   1861.90  1.99E-21
   1862.00  7.55E-21
   1862.10  3.95E-21
   1862.20  1.28E-21
   1862.30  3.91E-21
   1862.40  2.88E-21
   1862.50  5.15E-22
   1862.60  3.48E-22
   1862.70  3.22E-22
   1862.80  3.30E-22
   1862.90  3.69E-22
   1863.00  4.67E-22
   1863.10  6.38E-22
   1863.20  7.67E-22
   1863.30  1.56E-21
   1863.40  1.98E-21
   1863.50  2.95E-21
   1863.60  8.97E-21
   1863.70  2.27E-20
   1863.80  4.11E-20
   1863.90  1.62E-20
   1864.00  8.13E-21
   1864.10  2.37E-20
   1864.20  5.97E-20
   1864.30  1.19E-20
   1864.40  4.86E-21
   1864.50  4.68E-21
   1864.60  9.92E-21
   1864.70  5.93E-20
   1864.80  4.63E-20
   1864.90  7.65E-21
   1865.00  4.61E-21
   1865.10  4.48E-21
   1865.20  3.34E-21
   1865.30  5.61E-21
   1865.40  1.97E-20
   1865.50  8.15E-20
   1865.60  3.34E-20
   1865.70  6.36E-21
   1865.80  2.73E-21
   1865.90  2.18E-21
   1866.00  2.09E-21
   1866.10  1.89E-21
   1866.20  2.68E-21
   1866.30  6.12E-21
   1866.40  2.96E-20
   1866.50  7.54E-20
   1866.60  2.13E-20
   1866.70  4.49E-21
   1866.80  2.07E-21
   1866.90  1.45E-21
   1867.00  1.24E-21
   1867.10  1.16E-21
   1867.20  1.25E-21
   1867.30  1.47E-21
   1867.40  2.51E-21
   1867.50  6.77E-21
   1867.60  3.62E-20
   1867.70  5.22E-20
   1867.80  9.86E-21
   1867.90  2.98E-21
   1868.00  2.24E-21
   1868.10  1.38E-21
   1868.20  1.04E-21
   1868.30  8.86E-22
   1868.40  7.23E-22
   1868.50  8.13E-22
   1868.60  8.53E-22
   1868.70  1.12E-21
   1868.80  2.43E-21
   1868.90  8.56E-21
   1869.00  4.05E-20
   1869.10  3.28E-20
   1869.20  6.76E-21
   1869.30  2.74E-21
   1869.40  1.68E-21
   1869.50  1.95E-21
   1869.60  7.73E-22
   1869.70  6.19E-22
   1869.80  1.42E-21
   1869.90  1.93E-21
   1870.00  9.83E-22
   1870.10  6.43E-22
   1870.20  6.34E-22
   1870.30  1.04E-21
   1870.40  3.13E-21
   1870.50  5.80E-21
   1870.60  2.78E-20
   1870.70  2.48E-20
   1870.80  6.54E-21
   1870.90  1.52E-21
   1871.00  8.98E-22
   1871.10  9.09E-22
   1871.20  1.96E-21
   1871.30  7.85E-22
   1871.40  1.69E-21
   1871.50  4.79E-22
   1871.60  2.69E-22
   1871.70  2.78E-22
   1871.80  3.51E-22
   1871.90  3.94E-22
   1872.00  3.84E-22
   1872.10  5.70E-22
   1872.20  2.65E-21
   1872.30  3.86E-21
   1872.40  1.86E-20
   1872.50  1.67E-20
   1872.60  1.02E-20
   1872.70  1.35E-21
   1872.80  5.96E-22
   1872.90  3.45E-22
   1873.00  2.63E-22
   1873.10  2.21E-22
   1873.20  1.93E-22
   1873.30  2.35E-22
   1873.40  4.09E-22
   1873.50  1.46E-21
   1873.60  3.44E-22
   1873.70  2.95E-22
   1873.80  1.19E-21
   1873.90  3.24E-22
   1874.00  3.77E-22
   1874.10  7.20E-22
   1874.20  7.14E-22
   1874.30  2.08E-21
   1874.40  1.07E-20
   1874.50  8.43E-21
   1874.60  7.37E-21
   1874.70  7.72E-22
   1874.80  4.27E-22
   1874.90  4.62E-22
   1875.00  1.25E-21
   1875.10  2.23E-22
   1875.20  1.97E-22
   1875.30  7.06E-22
   1875.40  3.92E-22
   1875.50  1.48E-22
   1875.60  1.31E-22
   1875.70  1.27E-22
   1875.80  9.74E-23
   1875.90  1.35E-22
   1876.00  1.05E-22
   1876.10  1.10E-22
   1876.20  1.32E-22
   1876.30  1.83E-22
   1876.40  3.30E-22
   1876.50  7.34E-22
   1876.60  4.20E-21
   1876.70  7.45E-21
   1876.80  4.82E-21
   1876.90  1.18E-21
   1877.00  3.44E-22
   1877.10  7.69E-22
   1877.20  2.17E-22
   1877.30  1.02E-22
   1877.40  9.80E-23
   1877.50  1.19E-22
   1877.60  1.38E-22
   1877.70  1.80E-22
   1877.80  9.18E-23
   1877.90  9.02E-23
   1878.00  7.54E-23
   1878.10  9.15E-23
   1878.20  1.05E-22
   1878.30  9.15E-23
   1878.40  7.65E-23
   1878.50  1.08E-22
   1878.60  4.60E-22
   1878.70  2.96E-22
   1878.80  1.85E-22
   1878.90  3.24E-22
   1879.00  8.22E-22
   1879.10  4.16E-21
   1879.20  2.05E-21
   1879.30  2.34E-21
   1879.40  4.19E-22
   1879.50  1.57E-22
   1879.60  9.31E-23
   1879.70  8.80E-23
   1879.80  8.00E-23
   1879.90  9.07E-23
   1880.00  7.58E-23
   1880.10  9.30E-23
   1880.20  8.07E-23
   1880.30  7.46E-23
   1880.40  9.11E-23
   1880.50  9.73E-23
   1880.60  8.68E-23
   1880.70  1.40E-22
   1880.80  3.84E-22
   1880.90  1.60E-22
   1881.00  9.69E-23
   1881.10  1.13E-22
   1881.20  1.33E-22
   1881.30  2.96E-22
   1881.40  2.83E-22
   1881.50  2.62E-22
   1881.60  3.54E-22
   1881.70  8.08E-22
   1881.80  2.38E-21
   1881.90  1.04E-21
   1882.00  1.49E-21
   1882.10  6.99E-22
   1882.20  1.23E-21
   1882.30  4.35E-21
   1882.40  1.16E-20
   1882.50  2.02E-20
   1882.60  1.29E-20
   1882.70  3.30E-21
   1882.80  1.00E-20
   1882.90  3.56E-20
   1883.00  5.75E-21
   1883.10  2.34E-21
   1883.20  2.07E-21
   1883.30  4.08E-21
   1883.40  3.24E-20
   1883.50  2.59E-20
   1883.60  4.60E-21
   1883.70  1.43E-21
   1883.80  1.25E-21
   1883.90  1.30E-21
   1884.00  2.00E-21
   1884.10  5.76E-21
   1884.20  4.35E-20
   1884.30  1.14E-20
   1884.40  2.74E-21
   1884.50  1.53E-21
   1884.60  2.44E-21
   1884.70  1.86E-21
   1884.80  1.28E-21
   1884.90  2.54E-21
   1885.00  3.72E-21
   1885.10  1.00E-20
   1885.20  4.11E-20
   1885.30  5.90E-21
   1885.40  1.94E-21
   1885.50  2.05E-21
   1885.60  2.07E-21
   1885.70  7.94E-22
   1885.80  5.66E-22
   1885.90  7.70E-22
   1886.00  6.78E-22
   1886.10  1.07E-21
   1886.20  3.21E-21
   1886.30  2.17E-20
   1886.40  2.63E-20
   1886.50  4.45E-21
   1886.60  1.10E-21
   1886.70  6.07E-22
   1886.80  4.20E-22
   1886.90  4.00E-22
   1887.00  2.81E-22
   1887.10  3.13E-22
   1887.20  3.79E-22
   1887.30  1.89E-21
   1887.40  9.01E-22
   1887.50  2.27E-21
   1887.60  2.99E-21
   1887.70  2.37E-20
   1887.80  1.16E-20
   1887.90  2.20E-21
   1888.00  9.57E-22
   1888.10  4.99E-22
   1888.20  3.15E-22
   1888.30  2.74E-22
   1888.40  2.60E-22
   1888.50  4.82E-22
   1888.60  1.41E-21
   1888.70  5.30E-22
   1888.80  1.15E-21
   1888.90  4.16E-22
   1889.00  4.86E-22
   1889.10  8.66E-22
   1889.20  2.47E-21
   1889.30  1.82E-20
   1889.40  7.75E-21
   1889.50  1.40E-21
   1889.60  6.16E-22
   1889.70  2.90E-22
   1889.80  2.22E-22
   1889.90  1.84E-22
   1890.00  7.41E-22
   1890.10  9.20E-22
   1890.20  3.38E-22
   1890.30  8.79E-22
   1890.40  1.55E-22
   1890.50  1.54E-22
   1890.60  1.56E-22
   1890.70  2.07E-22
   1890.80  3.00E-22
   1890.90  5.81E-22
   1891.00  2.02E-21
   1891.10  1.22E-20
   1891.20  6.42E-21
   1891.30  1.17E-21
   1891.40  4.54E-22
   1891.50  2.40E-22
   1891.60  1.99E-22
   1891.70  7.92E-22
   1891.80  4.92E-22
   1891.90  1.55E-22
   1892.00  6.14E-22
   1892.10  3.63E-22
   1892.20  7.03E-23
   1892.30  7.44E-23
   1892.40  6.84E-23
   1892.50  9.26E-23
   1892.60  1.27E-22
   1892.70  1.38E-22
   1892.80  2.13E-22
   1892.90  4.95E-22
   1893.00  1.28E-21
   1893.10  6.39E-21
   1893.20  4.98E-21
   1893.30  6.27E-22
   1893.40  2.74E-22
   1893.50  1.65E-22
   1893.60  5.46E-22
   1893.70  2.72E-22
   1893.80  9.07E-23
   1893.90  2.47E-22
   1894.00  3.02E-22
   1894.10  5.27E-23
   1894.20  4.28E-23
   1894.30  5.66E-23
   1894.40  5.38E-23
   1894.50  3.86E-23
   1894.60  9.28E-23
   1894.70  1.03E-22
   1894.80  6.05E-23
   1894.90  1.01E-22
   1895.00  1.13E-22
   1895.10  1.98E-22
   1895.20  5.41E-22
   1895.30  3.44E-21
   1895.40  3.64E-21
   1895.50  6.00E-22
   1895.60  1.94E-22
   1895.70  1.76E-22
   1895.80  3.34E-22
   1895.90  6.58E-23
   1896.00  5.73E-23
   1896.10  1.10E-22
   1896.20  1.37E-22
   1896.30  4.41E-23
   1896.40  4.28E-23
   1896.50  4.43E-23
   1896.60  4.16E-23
   1896.70  4.21E-23
   1896.80  2.01E-23
   1896.90  3.61E-23
   1897.00  2.74E-23
   1897.10  4.66E-23
   1897.20  4.82E-23
   1897.30  8.03E-23
   1897.40  8.78E-23
   1897.50  1.13E-22
   1897.60  2.47E-22
   1897.70  1.14E-21
   1897.80  2.64E-21
   1897.90  6.22E-22
   1898.00  1.92E-22
   1898.10  1.99E-22
   1898.20  1.48E-22
   1898.30  7.22E-23
   1898.40  7.28E-23
   1898.50  1.15E-22
   1898.60  1.24E-22
   1898.70  5.40E-23
   1898.80  5.94E-23
   1898.90  5.05E-23
   1899.00  3.96E-23
   1899.10  4.03E-23
   1899.20  3.44E-23
   1899.30  4.09E-23
   1899.40  3.58E-23
   1899.50  3.50E-23
   1899.60  4.28E-23
   1899.70  4.89E-23
   1899.80  3.99E-23
   1899.90  5.18E-23
   1900.00  6.27E-23
   1900.10  9.45E-23
   1900.20  1.45E-22
   1900.30  3.27E-22
   1900.40  1.29E-21
   1900.50  8.52E-22
   1900.60  2.34E-22
   1900.70  1.50E-22
   1900.80  1.56E-22
   1900.90  9.44E-23
   1901.00  1.44E-22
   1901.10  4.04E-22
   1901.20  5.02E-22
   1901.30  6.63E-22
   1901.40  1.72E-22
   1901.50  2.32E-22
   1901.60  7.92E-22
   1901.70  8.35E-22
   1901.80  2.13E-22
   1901.90  1.90E-22
   1902.00  2.19E-22
   1902.10  4.29E-22
   1902.20  1.30E-21
   1902.30  1.28E-21
   1902.40  2.13E-21
   1902.50  5.12E-21
   1902.60  8.25E-21
   1902.70  5.14E-21
   1902.80  2.08E-21
   1902.90  6.12E-21
   1903.00  1.52E-20
   1903.10  4.38E-21
   1903.20  1.76E-21
   1903.30  1.99E-21
   1903.40  2.73E-21
   1903.50  1.24E-20
   1903.60  1.25E-20
   1903.70  2.31E-21
   1903.80  9.66E-22
   1903.90  8.44E-22
   1904.00  1.52E-21
   1904.10  1.82E-21
   1904.20  5.03E-21
   1904.30  1.75E-20
   1904.40  5.26E-21
   1904.50  9.80E-22
   1904.60  7.16E-22
   1904.70  5.18E-22
   1904.80  4.55E-22
   1904.90  5.25E-22
   1905.00  6.91E-22
   1905.10  1.65E-21
   1905.20  8.35E-21
   1905.30  1.47E-20
   1905.40  3.51E-21
   1905.50  1.09E-21
   1905.60  5.68E-22
   1905.70  3.92E-22
   1905.80  3.22E-22
   1905.90  2.91E-22
   1906.00  3.37E-22
   1906.10  4.19E-22
   1906.20  7.11E-22
   1906.30  2.25E-21
   1906.40  1.12E-20
   1906.50  9.12E-21
   1906.60  1.79E-21
   1906.70  1.12E-21
   1906.80  6.92E-22
   1906.90  4.21E-22
   1907.00  2.51E-22
   1907.10  2.28E-22
   1907.20  1.97E-22
   1907.30  1.91E-22
   1907.40  2.45E-22
   1907.50  3.41E-22
   1907.60  7.12E-22
   1907.70  2.60E-21
   1907.80  9.18E-21
   1907.90  5.58E-21
   1908.00  1.05E-21
   1908.10  4.84E-22
   1908.20  2.95E-22
   1908.30  3.58E-22
   1908.40  4.64E-22
   1908.50  3.35E-22
   1908.60  2.86E-22
   1908.70  1.45E-22
   1908.80  1.41E-22
   1908.90  1.30E-22
   1909.00  1.81E-22
   1909.10  2.56E-22
   1909.20  6.27E-22
   1909.30  2.77E-21
   1909.40  6.96E-21
   1909.50  3.64E-21
   1909.60  7.88E-22
   1909.70  4.18E-22
   1909.80  2.45E-22
   1909.90  1.54E-22
   1910.00  1.45E-22
